file_name_list,speakers,visual_features,acoustic_features,lexical_features,emotion_labels
Ses01F_impro01_F001,F01,/features/visual_features/Session1/Ses01F_impro01/Ses01F_impro01_F001.npy,/features/acoustic_features/Session1/Ses01F_impro01/Ses01F_impro01_F001.npy,/features/lexical_features/Session1/Ses01F_impro01/Ses01F_impro01_F001.npy,3
Ses01F_impro01_M011,M01,/features/visual_features/Session1/Ses01F_impro01/Ses01F_impro01_M011.npy,/features/acoustic_features/Session1/Ses01F_impro01/Ses01F_impro01_M011.npy,/features/lexical_features/Session1/Ses01F_impro01/Ses01F_impro01_M011.npy,0
Ses01F_impro02_F002,F01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_F002.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_F002.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_F002.npy,1
Ses01F_impro02_F003,F01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_F003.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_F003.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_F003.npy,3
Ses01F_impro02_F004,F01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_F004.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_F004.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_F004.npy,1
Ses01F_impro02_F010,F01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_F010.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_F010.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_F010.npy,1
Ses01F_impro02_F014,F01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_F014.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_F014.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_F014.npy,1
Ses01F_impro02_F018,F01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_F018.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_F018.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_F018.npy,3
Ses01F_impro02_F019,F01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_F019.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_F019.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_F019.npy,1
Ses01F_impro02_M005,M01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_M005.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_M005.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_M005.npy,1
Ses01F_impro02_M011,M01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_M011.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_M011.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_M011.npy,1
Ses01F_impro02_M014,M01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_M014.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_M014.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_M014.npy,1
Ses01F_impro02_M015,M01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_M015.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_M015.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_M015.npy,3
Ses01F_impro03_F005,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F005.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F005.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F005.npy,2
Ses01F_impro03_F006,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F006.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F006.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F006.npy,2
Ses01F_impro03_F008,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F008.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F008.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F008.npy,2
Ses01F_impro03_F009,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F009.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F009.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F009.npy,2
Ses01F_impro03_F018,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F018.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F018.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F018.npy,3
Ses01F_impro03_F021,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F021.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F021.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F021.npy,2
Ses01F_impro03_F022,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F022.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F022.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F022.npy,3
Ses01F_impro03_F023,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F023.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F023.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F023.npy,3
Ses01F_impro03_F024,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F024.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F024.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F024.npy,2
Ses01F_impro03_M006,M01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_M006.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_M006.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_M006.npy,3
Ses01F_impro03_M008,M01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_M008.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_M008.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_M008.npy,3
Ses01F_impro03_M016,M01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_M016.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_M016.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_M016.npy,3
Ses01F_impro04_F000,F01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_F000.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_F000.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_F000.npy,3
